naics3,pre_value,post_value,dem_share_avg_2016_2020,log_change,pct_change,abs_log_change,abs_pct_change,dataset
311,5231951030.125,5535794955.333333,0.5021685676494811,0.056450924788702395,0.058074688287186316,0.056450924788702395,0.058074688287186316,exports
312,722753978.9583333,723231882.4166666,0.5860761247747622,0.0006610071211632373,0.0006612256345128742,0.0006610071211632373,0.0006612256345128742,exports
313,768955812.2916666,771527376.5833334,0.4393182838166458,0.0033386494561149505,0.0033442289538105907,0.0033386494561149505,0.0033442289538105907,exports
314,268896673.75,265650236.5,0.4560377545307784,-0.012146650192512709,-0.012073177420626191,0.012146650192512709,0.012073177420626191,exports
315,442373127.4166666,463410842.1666667,0.6654534055934824,0.04646030308365212,0.04755649348063784,0.04646030308365212,0.04755649348063784,exports
316,375093709.5,357331912.6666667,0.5733617684630457,-0.04851080954414044,-0.04735295843006748,0.04851080954414044,0.04735295843006748,exports
321,622482841.125,582232551.5833334,0.4224203251330003,-0.06684612241054921,-0.06466088200748332,0.06684612241054921,0.06466088200748332,exports
322,1974826713.625,1977925134.6666667,0.5159129537331816,0.0015677289114961468,0.0015689584409050994,0.0015677289114961468,0.0015689584409050994,exports
323,448943981.2916667,421473411.6666667,0.5390494485762766,-0.06314142150505475,-0.061189303721065236,0.06314142150505475,0.061189303721065236,exports
324,6295615530.208334,7823510698.0,0.541594869441496,0.21727994865014466,0.24269194337874467,0.21727994865014466,0.24269194337874467,exports
325,15715027116.375,17399427600.25,0.5486899845346436,0.10181991338491159,0.10718406474271114,0.10181991338491159,0.10718406474271114,exports
326,2737402602.291667,2839444379.6666665,0.4825088371443883,0.03659887663235395,0.0372768613902732,0.03659887663235395,0.0372768613902732,exports
327,982362625.5,985321331.3333334,0.4965023283603753,0.0030073000828210183,0.003011826546055252,0.0030073000828210183,0.003011826546055252,exports
331,4514591105.208334,4407156581.333333,0.5048803354097867,-0.024084903767214172,-0.023797177057974794,0.024084903767214172,0.023797177057974794,exports
332,3768352793.916667,4102664459.0,0.498529565886642,0.08499864939626889,0.0887155962740589,0.08499864939626889,0.0887155962740589,exports
333,10789016919.708332,11407455660.333334,0.4979457043639007,0.05573848211967203,0.057321139194368875,0.05573848211967203,0.057321139194368875,exports
334,17083025766.666668,17621162517.75,0.6012632400110499,0.03101527021656736,0.03150125501381451,0.03101527021656736,0.03150125501381451,exports
335,4862472598.958334,5098843922.083333,0.5448066506961518,0.047466758336575765,0.04861134295659286,0.047466758336575765,0.04861134295659286,exports
336,23137015840.125,23938396668.166668,0.4991828402386873,0.03404997261324638,0.03463630891637659,0.03404997261324638,0.03463630891637659,exports
337,468678216.5416666,477446342.3333333,0.4596825362541231,0.018535354016432137,0.018708199959379224,0.018535354016432137,0.018708199959379224,exports
339,6616748561.875,6851667579.916667,0.5561162219852294,0.03488796947239692,0.0355036942759539,0.03488796947239692,0.0355036942759539,exports
