naics3,pre_value,post_value,dem_share,log_change,pct_change,abs_log_change,abs_pct_change,dataset,pre_years,post_years
322,1974826713.625,2051837146.4583333,0.5159129537331816,0.03825490626768868,0.03899604572999338,0.03825490626768868,0.03899604572999338,exports,"2016,2017","2018,2019"
323,448943981.2916667,424423116.8333333,0.5390494485762766,-0.05616724198495504,-0.054618984728971864,0.05616724198495504,0.054618984728971864,exports,"2016,2017","2018,2019"
324,6295615530.208333,8241531028.0,0.541594869441496,0.26933268750324757,0.30909058668760125,0.26933268750324757,0.30909058668760125,exports,"2016,2017","2018,2019"
325,15715027116.375,17341764877.833332,0.5486899845346436,0.09850035114454414,0.10351479188752255,0.09850035114454414,0.10351479188752255,exports,"2016,2017","2018,2019"
326,2737402602.2916665,2884331865.5833335,0.4825088371443883,0.052283768648475615,0.05367469993952012,0.052283768648475615,0.05367469993952012,exports,"2016,2017","2018,2019"
327,982362625.5,1013294259.0416666,0.4965023283603753,0.031001432238994653,0.03148698122134186,0.031001432238994653,0.03148698122134186,exports,"2016,2017","2018,2019"
331,4514591105.208333,4676598552.666667,0.5048803354097867,0.03525642155568676,0.03588529806640328,0.03525642155568676,0.03588529806640328,exports,"2016,2017","2018,2019"
332,3768352793.9166665,4077584050.2916665,0.498529565886642,0.07886668720292178,0.08206006000133503,0.07886668720292178,0.08206006000133503,exports,"2016,2017","2018,2019"
333,10789016919.708334,11651061168.0,0.4979457043639007,0.0768685984405657,0.07990016650330456,0.0768685984405657,0.07990016650330456,exports,"2016,2017","2018,2019"
334,17083025766.666666,17710293282.416668,0.6012632400110499,0.03606068664369744,0.03671875956389181,0.03606068664369744,0.03671875956389181,exports,"2016,2017","2018,2019"
335,4862472598.958333,5161174989.208333,0.5448066506961518,0.05961719090510087,0.06143014365037036,0.05961719090510087,0.06143014365037036,exports,"2016,2017","2018,2019"
336,23137015840.125,23908604583.875,0.4991828402386873,0.03280466622571154,0.03334867162998112,0.03280466622571154,0.03334867162998112,exports,"2016,2017","2018,2019"
337,468678216.5416667,483630567.7916667,0.4596825362541231,0.03140489806274971,0.03190323493234226,0.03140489806274971,0.03190323493234226,exports,"2016,2017","2018,2019"
339,6616748561.875,6921021083.875,0.5561162219852294,0.04495921871954067,0.04598520242301274,0.04495921871954067,0.04598520242301274,exports,"2016,2017","2018,2019"
113,206552576.625,219458396.83333334,0.37794667258382,0.06060769013678424,0.06248201024267108,0.06060769013678424,0.06248201024267108,imports,"2016,2017",2019
114,1294673027.9166667,1340956464.25,0.5360206485960334,0.03512496345880223,0.03574913150682568,0.03512496345880223,0.03574913150682568,imports,"2016,2017",2019
211,10501090693.333334,11286294474.416666,0.3980050535504876,0.07210998389149026,0.0747735453405638,0.07210998389149026,0.0747735453405638,imports,"2016,2017",2019
212,383940607.2916667,461414034.5,0.3503220432995317,0.18380789037152212,0.20178492646254376,0.18380789037152212,0.20178492646254376,imports,"2016,2017",2019
311,4949965339.541667,5720324171.0,0.5021685676494811,0.14464490259429752,0.15562913649202703,0.14464490259429752,0.15562913649202703,imports,"2016,2017",2019
312,1979182788.0833333,2257703521.75,0.5860761247747622,0.13166412962715768,0.14072511914697383,0.13166412962715768,0.14072511914697383,imports,"2016,2017",2019
313,684811477.6666666,684540924.9166666,0.4393182838166458,-0.0003951543123754675,-0.00039507624919177253,0.0003951543123754675,0.00039507624919177253,imports,"2016,2017",2019
314,1761713187.7083333,1949017356.3333333,0.4560377545307784,0.10103858802787968,0.10631933162097096,0.10103858802787968,0.10631933162097096,imports,"2016,2017",2019
315,7045069423.708333,7336326347.333333,0.6654534055934824,0.040510220071677594,0.04134195223752535,0.040510220071677594,0.04134195223752535,imports,"2016,2017",2019
316,3183126001.0,3259673651.1666665,0.5733617684630457,0.023763350235963543,0.024047948508044703,0.023763350235963543,0.024047948508044703,imports,"2016,2017",2019
321,1622692790.625,1524775699.0,0.4224203251330003,-0.06223966910799916,-0.06034234711013042,0.06223966910799916,0.06034234711013042,imports,"2016,2017",2019
322,1642137722.0833333,1764117839.8333333,0.5159129537331816,0.07165187587306221,0.07428129572180309,0.07165187587306221,0.07428129572180309,imports,"2016,2017",2019
323,459381181.8333333,491948975.75,0.5390494485762766,0.06849467636036621,0.07089492387714413,0.06849467636036621,0.07089492387714413,imports,"2016,2017",2019
324,3820401134.625,5274493380.583333,0.541594869441496,0.3225272069847094,0.38061245265048926,0.3225272069847094,0.38061245265048926,imports,"2016,2017",2019
325,18027153934.5,21795871688.666668,0.5486899845346436,0.18984140669093108,0.20905783396868727,0.18984140669093108,0.20905783396868727,imports,"2016,2017",2019
326,4284542309.9583335,4952079243.75,0.4825088371443883,0.14479380342719494,0.15580122344460134,0.14479380342719494,0.15580122344460134,imports,"2016,2017",2019
327,1866432002.4166667,2005052084.8333333,0.4965023283603753,0.07164144971472552,0.07427009515330885,0.07164144971472552,0.07427009515330885,imports,"2016,2017",2019
331,7161717364.375,7206229921.25,0.5048803354097867,0.006196111163237816,0.006215346768140062,0.006196111163237816,0.006215346768140062,imports,"2016,2017",2019
332,5670905486.416667,6317857438.916667,0.498529565886642,0.10803133508123963,0.11408265471001466,0.10803133508123963,0.11408265471001466,imports,"2016,2017",2019
333,13359606778.208334,15764077806.666666,0.4979457043639007,0.16549806013258106,0.1799806737111762,0.16549806013258106,0.1799806737111762,imports,"2016,2017",2019
334,32199471983.958332,32374243266.666668,0.6012632400110499,0.005413091341750942,0.005427768591839133,0.005413091341750942,0.005427768591839133,imports,"2016,2017",2019
335,9074793462.75,10342154547.583334,0.5448066506961518,0.130727596580396,0.13965729248115322,0.130727596580396,0.13965729248115322,imports,"2016,2017",2019
336,31655967501.291668,34287637083.333332,0.4991828402386873,0.07985817684959784,0.08313344338423034,0.07985817684959784,0.08313344338423034,imports,"2016,2017",2019
337,3346387444.375,3504625201.75,0.4596825362541231,0.04620219315616225,0.04728614364155126,0.04620219315616225,0.04728614364155126,imports,"2016,2017",2019
339,9982971274.333334,10597684703.166666,0.5561162219852294,0.05975478413861168,0.06157619930388747,0.05975478413861168,0.06157619930388747,imports,"2016,2017",2019
113,215420048.66666666,173404135.0,0.37794667258382,-0.2169649261782851,-0.19504179822965595,0.2169649261782851,0.19504179822965595,exports,"2016,2017",2019
114,466254019.4166667,442303561.5,0.5360206485960334,-0.052734154584808124,-0.05136783152375024,0.052734154584808124,0.05136783152375024,exports,"2016,2017",2019
211,2839390545.3333335,7943151636.083333,0.3980050535504876,1.0287206955688895,1.7974847099277205,1.0287206955688895,1.7974847099277205,exports,"2016,2017",2019
212,1245399214.4166667,1590406647.1666667,0.3503220432995317,0.2445336037998942,0.27702557441518727,0.2445336037998942,0.27702557441518727,exports,"2016,2017",2019
311,5231951030.125,5535794955.333333,0.5021685676494811,0.056450924788702395,0.058074688287186316,0.056450924788702395,0.058074688287186316,exports,"2016,2017",2019
312,722753978.9583334,723231882.4166666,0.5860761247747622,0.0006610071211632373,0.0006612256345126521,0.0006610071211632373,0.0006612256345126521,exports,"2016,2017",2019
313,768955812.2916666,771527376.5833334,0.4393182838166458,0.0033386494561149505,0.0033442289538105907,0.0033386494561149505,0.0033442289538105907,exports,"2016,2017",2019
314,268896673.75,265650236.5,0.4560377545307784,-0.012146650192512709,-0.012073177420626191,0.012146650192512709,0.012073177420626191,exports,"2016,2017",2019
